Location,Year,Price,Demand
Downtown,2018,500000,100
Downtown,2019,520000,110
Downtown,2020,530000,105
Downtown,2021,550000,120
Downtown,2022,580000,130
Downtown,2023,600000,140
Suburb A,2018,300000,80
Suburb A,2019,315000,85
Suburb A,2020,330000,90
Suburb A,2021,360000,110
Suburb A,2022,400000,135
Suburb A,2023,450000,160
Suburb B,2018,250000,50
Suburb B,2019,260000,55
Suburb B,2020,265000,50
Suburb B,2021,270000,60
Suburb B,2022,280000,65
Suburb B,2023,290000,70
Tech Park,2018,400000,120
Tech Park,2019,450000,140
Tech Park,2020,500000,160
Tech Park,2021,580000,190
Tech Park,2022,680000,230
Tech Park,2023,800000,280
